ENTREZID;ENSEMBL;SYMBOL;GENENAME
388585;ENSG00000273529;HES5;hes family bHLH transcription factor 5
115110;NA;TNFRSF14-AS1;TNFRSF14 antisense RNA 1
100133445;NA;NA;NA
8764;ENSG00000157873;TNFRSF14;TNF receptor superfamily member 14
8764;ENSG00000273936;TNFRSF14;TNF receptor superfamily member 14
100506589;NA;NA;NA
127281;ENSG00000157870;PRXL2B;peroxiredoxin like 2B
127281;ENSG00000275125;PRXL2B;peroxiredoxin like 2B
79258;ENSG00000142606;MMEL1;membrane metalloendopeptidase like 1
79258;ENSG00000277131;MMEL1;membrane metalloendopeptidase like 1
100287898;ENSG00000215912;TTC34;tetratricopeptide repeat domain 34
100287898;ENSG00000275571;TTC34;tetratricopeptide repeat domain 34
140625;ENSG00000169717;ACTRT2;actin related protein T2
440556;ENSG00000177133;PRDM16-DT;PRDM16 divergent transcript
63976;ENSG00000142611;PRDM16;PR/SET domain 16
100422968;ENSG00000283572;MIR4251;microRNA 4251
27237;ENSG00000130762;ARHGEF16;Rho guanine nucleotide exchange factor 16
1953;ENSG00000162591;MEGF6;multiple EGF like domains 6
693135;ENSG00000207776;MIR551A;microRNA 551a
127262;ENSG00000158109;TPRG1L;tumor protein p63 regulated 1 like
49856;ENSG00000116213;WRAP73;WD repeat containing, antisense to TP73
7161;ENSG00000078900;TP73;tumor protein p73
100506635;NA;NA;NA
57212;ENSG00000227372;TP73-AS1;TP73 antisense RNA 1
148870;ENSG00000162592;CCDC27;coiled-coil domain containing 27
388588;ENSG00000235169;SMIM1;small integral membrane protein 1 (Vel blood group)
57470;ENSG00000130764;LRRC47;leucine rich repeat containing 47
9731;ENSG00000116198;CEP104;centrosomal protein 104
1677;ENSG00000169598;DFFB;DNA fragmentation factor subunit beta
339448;ENSG00000198912;C1orf174;chromosome 1 open reading frame 174
100133612;ENSG00000236423;LINC01134;long intergenic non-protein coding RNA 1134
728716;NA;LINC01346;long intergenic non-protein coding RNA 1346
284661;ENSG00000235054;LINC01777;long intergenic non-protein coding RNA 1777
55966;ENSG00000196581;AJAP1;adherens junctions associated protein 1
261734;ENSG00000131697;NPHP4;nephrocystin 4
8514;ENSG00000069424;KCNAB2;potassium voltage-gated channel subfamily A regulatory beta subunit 2
26038;ENSG00000116254;CHD5;chromodomain helicase DNA binding protein 5
6146;ENSG00000116251;RPL22;ribosomal protein L22
388591;ENSG00000158286;RNF207;ring finger protein 207
23463;ENSG00000116237;ICMT;isoprenylcysteine carboxyl methyltransferase
148645;NA;LINC00337;long intergenic non-protein coding RNA 337
390992;ENSG00000173673;HES3;hes family bHLH transcription factor 3
387509;ENSG00000158292;GPR153;G protein-coupled receptor 153
11332;ENSG00000097021;ACOT7;acyl-CoA thioesterase 7
100130071;NA;NA;NA
54626;ENSG00000069812;HES2;hes family bHLH transcription factor 2
83715;ENSG00000187017;ESPN;espin
100422975;ENSG00000265392;MIR4252;microRNA 4252
8718;ENSG00000215788;TNFRSF25;TNF receptor superfamily member 25
57449;ENSG00000171680;PLEKHG5;pleckstrin homology and RhoGEF domain containing G5
79707;ENSG00000162408;NOL9;nucleolar protein 9
80835;ENSG00000173662;TAS1R1;taste 1 receptor member 1
3104;ENSG00000204859;ZBTB48;zinc finger and BTB domain containing 48
9903;ENSG00000162413;KLHL21;kelch like family member 21
148479;ENSG00000116273;PHF13;PHD finger protein 13
90326;ENSG00000041988;THAP3;THAP domain containing 3
55735;ENSG00000007923;DNAJC11;DnaJ heat shock protein family (Hsp40) member C11
100505887;NA;LINC01672;long intergenic non-protein coding RNA 1672
23261;ENSG00000171735;CAMTA1;calmodulin binding transcription activator 1
100505935;NA;NA;NA
100505910;NA;NA;NA
9341;ENSG00000049245;VAMP3;vesicle associated membrane protein 3
8863;ENSG00000049246;PER3;period circadian regulator 3
10911;ENSG00000049247;UTS2;urotensin 2
3604;ENSG00000049249;TNFRSF9;TNF receptor superfamily member 9
11315;ENSG00000116288;PARK7;Parkinsonism associated deglycase
54206;ENSG00000116285;ERRFI1;ERBB receptor feedback inhibitor 1
50651;ENSG00000162426;SLC45A1;solute carrier family 45 member 1
473;ENSG00000142599;RERE;arginine-glutamic acid dipeptide repeats
100505990;NA;NA;NA
2023;ENSG00000074800;ENO1;enolase 1
100505975;ENSG00000230679;ENO1-AS1;ENO1 antisense RNA 1
765;ENSG00000131686;CA6;carbonic anhydrase 6
155184;ENSG00000197241;SLC2A7;solute carrier family 2 member 7
6518;ENSG00000142583;SLC2A5;solute carrier family 2 member 5
100302218;ENSG00000221520;MIR1285-1;microRNA 1285-1
80045;ENSG00000180758;GPR157;G protein-coupled receptor 157
407040;ENSG00000284357;MIR34A;microRNA 34a
727721;NA;NA;NA
9563;ENSG00000049239;H6PD;hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176;ENSG00000171621;SPSB1;splA/ryanodine receptor domain and SOCS box containing 1
100506022;ENSG00000284693;LINC02606;long intergenic non-protein coding RNA 2606
84275;ENSG00000171612;SLC25A33;solute carrier family 25 member 33
199953;ENSG00000188807;TMEM201;transmembrane protein 201
5293;ENSG00000171608;PIK3CD;phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
644997;ENSG00000179840;PIK3CD-AS1;PIK3CD antisense RNA 1
22883;ENSG00000171603;CLSTN1;calsyntenin 1
645010;NA;NA;NA
56998;ENSG00000178585;CTNNBIP1;catenin beta interacting protein 1
84328;ENSG00000162441;LZIC;leucine zipper and CTNNBIP1 domain containing
64802;ENSG00000173614;NMNAT1;nicotinamide nucleotide adenylyltransferase 1
116362;ENSG00000162444;RBP7;retinol binding protein 7
10277;ENSG00000130939;UBE4B;ubiquitination factor E4B
23095;ENSG00000054523;KIF1B;kinesin family member 1B
100287506;NA;NA;NA
5226;ENSG00000142657;PGD;phosphogluconate dehydrogenase
378708;ENSG00000175279;CENPS;centromere protein S
1325;ENSG00000241563;CORT;cortistatin
1676;ENSG00000160049;DFFA;DNA fragmentation factor subunit alpha
5195;ENSG00000142655;PEX14;peroxisomal biogenesis factor 14
54897;ENSG00000130940;CASZ1;castor zinc finger 1
148345;ENSG00000175262;C1orf127;chromosome 1 open reading frame 127
23435;ENSG00000120948;TARDBP;TAR DNA binding protein
10747;ENSG00000009724;MASP2;mannan binding lectin serine peptidase 2
6723;ENSG00000116649;SRM;spermidine synthase
5394;ENSG00000171824;EXOSC10;exosome component 10
2475;ENSG00000198793;MTOR;mechanistic target of rapamycin kinase
10218;ENSG00000171819;ANGPTL7;angiopoietin like 7
29914;ENSG00000120942;UBIAD1;UbiA prenyltransferase domain containing 1
57540;ENSG00000204624;DISP3;dispatched RND transporter family member 3
26232;ENSG00000116661;FBXO2;F-box protein 2
93611;ENSG00000132879;FBXO44;F-box protein 44
26270;ENSG00000116663;FBXO6;F-box protein 6
10459;ENSG00000116670;MAD2L2;mitotic arrest deficient 2 like 2
374946;ENSG00000162490;DRAXIN;dorsal inhibitory axon guidance protein
100506086;NA;NA;NA
57085;ENSG00000177674;AGTRAP;angiotensin II receptor associated protein
100506273;NA;NA;NA
284498;ENSG00000215910;C1orf167;chromosome 1 open reading frame 167
100506310;NA;NA;NA
100506116;NA;NA;NA
4524;ENSG00000177000;MTHFR;methylenetetrahydrofolate reductase
1185;ENSG00000011021;CLCN6;chloride voltage-gated channel 6
4878;ENSG00000175206;NPPA;natriuretic peptide A
4879;ENSG00000120937;NPPB;natriuretic peptide B
26829;ENSG00000199347;RNU5E-1;RNA, U5E small nuclear 1
90231;ENSG00000116685;KIAA2013;KIAA2013
5351;ENSG00000083444;PLOD1;procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
9927;ENSG00000116688;MFN2;mitofusin 2
60672;ENSG00000116691;MIIP;migration and invasion inhibitory protein
943;ENSG00000120949;TNFRSF8;TNF receptor superfamily member 8
7133;ENSG00000028137;TNFRSF1B;TNF receptor superfamily member 1B
55187;ENSG00000048707;VPS13D;vacuolar protein sorting 13 homolog D
677885;ENSG00000239149;SNORA59A;small nucleolar RNA, H/ACA box 59A
9249;ENSG00000162496;DHRS3;dehydrogenase/reductase 3
343066;ENSG00000204518;AADACL4;arylacetamide deacetylase like 4
126767;ENSG00000188984;AADACL3;arylacetamide deacetylase like 3
93190;ENSG00000157330;C1orf158;chromosome 1 open reading frame 158
390999;ENSG00000116726;PRAMEF12;PRAME family member 12
65121;ENSG00000116721;PRAMEF1;PRAME family member 1
440560;ENSG00000239810;PRAMEF11;PRAME family member 11
440560;ENSG00000281934;PRAMEF11;PRAME family member 11
343069;ENSG00000179172;HNRNPCL1;heterogeneous nuclear ribonucleoprotein C like 1
343069;ENSG00000282175;HNRNPCL1;heterogeneous nuclear ribonucleoprotein C like 1
65122;ENSG00000120952;PRAMEF2;PRAME family member 2
65122;ENSG00000282817;PRAMEF2;PRAME family member 2
400735;ENSG00000243073;PRAMEF4;PRAME family member 4
400735;ENSG00000282584;PRAMEF4;PRAME family member 4
343071;ENSG00000187545;PRAMEF10;PRAME family member 10
343071;ENSG00000282663;PRAMEF10;PRAME family member 10
441871;ENSG00000204510;PRAMEF7;PRAME family member 7
441871;ENSG00000279195;PRAMEF7;PRAME family member 7
440561;ENSG00000232423;PRAMEF6;PRAME family member 6
440561;ENSG00000282119;PRAMEF6;PRAME family member 6
653606;ENSG00000277853;PRAMEF22;PRAME family member 22
729368;NA;NA;NA
441873;ENSG00000229571;PRAMEF25;PRAME family member 25
441873;ENSG00000276299;PRAMEF25;PRAME family member 25
441873;ENSG00000282566;PRAMEF25;PRAME family member 25
441873;ENSG00000283348;PRAMEF25;PRAME family member 25
440563;ENSG00000275774;HNRNPCL2;heterogeneous nuclear ribonucleoprotein C like 2
440563;ENSG00000274109;HNRNPCL2;heterogeneous nuclear ribonucleoprotein C like 2
440563;ENSG00000282530;HNRNPCL2;heterogeneous nuclear ribonucleoprotein C like 2
440563;ENSG00000283370;HNRNPCL2;heterogeneous nuclear ribonucleoprotein C like 2
645359;ENSG00000280267;PRAMEF26;PRAME family member 26
645359;ENSG00000229571;PRAMEF26;PRAME family member 26
645359;ENSG00000276299;PRAMEF26;PRAME family member 26
645359;ENSG00000282566;PRAMEF26;PRAME family member 26
645359;ENSG00000281987;PRAMEF26;PRAME family member 26
645359;ENSG00000283348;PRAMEF26;PRAME family member 26
645359;ENSG00000283216;PRAMEF26;PRAME family member 26
401940;NA;NA;NA
343068;ENSG00000270601;PRAMEF5;PRAME family member 5
343068;ENSG00000276420;PRAMEF5;PRAME family member 5
343068;ENSG00000282424;PRAMEF5;PRAME family member 5
343068;ENSG00000283150;PRAMEF5;PRAME family member 5
391002;ENSG00000182330;PRAMEF8;PRAME family member 8
391002;ENSG00000278021;PRAMEF8;PRAME family member 8
391002;ENSG00000282583;PRAMEF8;PRAME family member 8
391002;ENSG00000283387;PRAMEF8;PRAME family member 8
343070;ENSG00000204505;PRAMEF9;PRAME family member 9
343070;ENSG00000281573;PRAMEF9;PRAME family member 9
343070;ENSG00000282298;PRAMEF9;PRAME family member 9
343070;ENSG00000283139;PRAMEF9;PRAME family member 9
400736;ENSG00000279169;PRAMEF13;PRAME family member 13
400736;ENSG00000282741;PRAMEF13;PRAME family member 13
391003;ENSG00000279804;PRAMEF18;PRAME family member 18
391003;ENSG00000277853;PRAMEF18;PRAME family member 18
391003;ENSG00000282212;PRAMEF18;PRAME family member 18
654348;NA;NA;NA
391001;NA;NA;NA
729516;NA;NA;NA
653619;ENSG00000204501;PRAMEF15;PRAME family member 15
729528;ENSG00000204481;PRAMEF14;PRAME family member 14
645414;ENSG00000204480;PRAMEF19;PRAME family member 19
391004;ENSG00000204479;PRAMEF17;PRAME family member 17
645425;ENSG00000204478;PRAMEF20;PRAME family member 20
126755;ENSG00000162494;LRRC38;leucine rich repeat containing 38
10630;ENSG00000162493;PDPN;podoplanin
7799;ENSG00000116731;PRDM2;PR/SET domain 2
23254;ENSG00000189337;KAZN;kazrin, periplakin interacting protein
200197;ENSG00000175147;TMEM51-AS1;TMEM51 antisense RNA 1
55092;ENSG00000171729;TMEM51;transmembrane protein 51
114827;ENSG00000142621;FHAD1;forkhead associated phosphopeptide binding domain 1
79180;ENSG00000142634;EFHD2;EF-hand domain family member D2
11330;ENSG00000162438;CTRC;chymotrypsin C
63036;ENSG00000142615;CELA2A;chymotrypsin like elastase 2A
51032;ENSG00000215704;CELA2B;chymotrypsin like elastase 2B
842;ENSG00000132906;CASP9;caspase 9
23341;ENSG00000116138;DNAJC16;DnaJ heat shock protein family (Hsp40) member C16
100507192;NA;NA;NA
79814;ENSG00000116771;AGMAT;agmatinase
645317;NA;CHCHD2P6;coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 6
84301;ENSG00000197312;DDI2;DNA damage inducible 1 homolog 2
6248;ENSG00000215695;RSC1A1;regulator of solute carriers 1
23207;ENSG00000116786;PLEKHM2;pleckstrin homology and RUN domain containing M2
284723;ENSG00000162461;SLC25A34;solute carrier family 25 member 34
388595;ENSG00000162460;TMEM82;transmembrane protein 82
54751;ENSG00000162458;FBLIM1;filamin binding LIM protein 1
440567;ENSG00000233954;UQCRHL;ubiquinol-cytochrome c reductase hinge protein like
729614;ENSG00000179743;FLJ37453;uncharacterized LOC729614
23013;ENSG00000065526;SPEN;spen family transcriptional repressor
7709;ENSG00000116809;ZBTB17;zinc finger and BTB domain containing 17
149563;ENSG00000183888;SRARP;steroid receptor associated and regulated protein
27129;ENSG00000173641;HSPB7;heat shock protein family B (small) member 7
1187;ENSG00000186510;CLCNKA;chloride voltage-gated channel Ka
1188;ENSG00000184908;CLCNKB;chloride voltage-gated channel Kb
348487;ENSG00000185519;FAM131C;family with sequence similarity 131 member C
1969;ENSG00000142627;EPHA2;EPH receptor A2
100506484;NA;NA;NA
128272;ENSG00000142632;ARHGEF19;Rho guanine nucleotide exchange factor 19
79363;ENSG00000132881;CPLANE2;ciliogenesis and planar polarity effector 2
54455;ENSG00000037637;FBXO42;F-box protein 42
26099;ENSG00000055070;SZRD1;SUZ RNA binding domain containing 1
374955;ENSG00000187144;SPATA21;spermatogenesis associated 21
55707;ENSG00000157191;NECAP2;NECAP endocytosis associated 2
114819;ENSG00000080947;CROCCP3;CROCC pseudogene 3
26871;ENSG00000206652;RNU1-1;RNA, U1 small nuclear 1
100506533;NA;NA;NA
100133301;NA;NA;NA
55672;ENSG00000219481;NBPF1;NBPF member 1
84809;ENSG00000215908;CROCCP2;CROCC pseudogene 2
11209;NA;MST1P2;macrophage stimulating 1 pseudogene 2
26869;ENSG00000207513;RNU1-3;RNA, U1 small nuclear 3
729574;NA;NA;NA
284729;NA;ESPNP;espin pseudogene
729587;NA;NA;NA
6060;ENSG00000207389;RNU1-4;RNA, U1 small nuclear 4
11223;ENSG00000186715;MST1L;macrophage stimulating 1 like
100506687;NA;NA;NA
26870;ENSG00000207005;RNU1-2;RNA, U1 small nuclear 2
9696;ENSG00000058453;CROCC;ciliary rootlet coiled-coil, rootletin
4237;ENSG00000117122;MFAP2;microfibril associated protein 2
23400;ENSG00000159363;ATP13A2;ATPase cation transporting 13A2
6390;ENSG00000117118;SDHB;succinate dehydrogenase complex iron sulfur subunit B
11240;ENSG00000117115;PADI2;peptidyl arginine deiminase 2
400743;ENSG00000204362;LINC02783;long intergenic non-protein coding RNA 2783
400743;ENSG00000281226;LINC02783;long intergenic non-protein coding RNA 2783
29943;ENSG00000142623;PADI1;peptidyl arginine deiminase 1
29943;ENSG00000281459;PADI1;peptidyl arginine deiminase 1
51702;ENSG00000142619;PADI3;peptidyl arginine deiminase 3
51702;ENSG00000280549;PADI3;peptidyl arginine deiminase 3
23569;ENSG00000159339;PADI4;peptidyl arginine deiminase 4
23569;ENSG00000280908;PADI4;peptidyl arginine deiminase 4
353238;ENSG00000276747;PADI6;peptidyl arginine deiminase 6
353238;ENSG00000280949;PADI6;peptidyl arginine deiminase 6
55920;ENSG00000179051;RCC2;regulator of chromosome condensation 2
55920;ENSG00000281540;RCC2;regulator of chromosome condensation 2
55160;ENSG00000074964;ARHGEF10L;Rho guanine nucleotide exchange factor 10 like
81569;ENSG00000117148;ACTL8;actin like 8
84966;ENSG00000117154;IGSF21;immunoglobin superfamily member 21
127707;ENSG00000179023;KLHDC7A;kelch domain containing 7A
5081;ENSG00000009709;PAX7;paired box 7
80834;ENSG00000179002;TAS1R2;taste 1 receptor member 2
8659;ENSG00000159423;ALDH4A1;aldehyde dehydrogenase 4 family member A1
100302276;ENSG00000221662;MIR1290;microRNA 1290
126917;ENSG00000169991;IFFO2;intermediate filament family orphan 2
23352;ENSG00000127481;UBR4;ubiquitin protein ligase E3 component n-recognin 4
23065;ENSG00000127463;EMC1;ER membrane protein complex subunit 1
51154;ENSG00000053372;MRTO4;MRT4 homolog, ribosome maturation factor
246181;ENSG00000211454;AKR7L;aldo-keto reductase family 7 like (gene/pseudogene)
22977;ENSG00000162482;AKR7A3;aldo-keto reductase family 7 member A3
100506730;NA;LOC100506730;uncharacterized LOC100506730
8574;ENSG00000053371;AKR7A2;aldo-keto reductase family 7 member A2
54896;ENSG00000040487;SLC66A1;solute carrier family 66 member 1
832;ENSG00000077549;CAPZB;capping actin protein of muscle Z-line subunit beta
644075;NA;NA;NA
644083;NA;NA;NA
440574;ENSG00000173436;MICOS10;mitochondrial contact site and cristae organizing system subunit 10
4681;ENSG00000158747;NBL1;NBL1, DAN family BMP antagonist
3362;ENSG00000158748;HTR6;5-hydroxytryptamine receptor 6
255104;ENSG00000162542;TMCO4;transmembrane and coiled-coil domains 4
54546;ENSG00000178828;RNF186;ring finger protein 186
23252;ENSG00000169914;OTUD3;OTU deubiquitinase 3
30814;ENSG00000188784;PLA2G2E;phospholipase A2 group IIE
5320;ENSG00000188257;PLA2G2A;phospholipase A2 group IIA
5322;ENSG00000127472;PLA2G5;phospholipase A2 group V
26279;ENSG00000117215;PLA2G2D;phospholipase A2 group IID
64600;ENSG00000158786;PLA2G2F;phospholipase A2 group IIF
391013;ENSG00000187980;PLA2G2C;phospholipase A2 group IIC
391013;ENSG00000225986;PLA2G2C;phospholipase A2 group IIC
127733;ENSG00000162543;UBXN10;UBX domain protein 10
127731;ENSG00000158816;VWA5B1;von Willebrand factor A domain containing 5B1
339505;NA;LINC01141;long intergenic non-protein coding RNA 1141
55450;ENSG00000162545;CAMK2N1;calcium/calmodulin dependent protein kinase II inhibitor 1
79594;ENSG00000090432;MUL1;mitochondrial E3 ubiquitin protein ligase 1
163933;ENSG00000183114;FAM43B;family with sequence similarity 43 member B
978;ENSG00000158825;CDA;cytidine deaminase
65018;ENSG00000158828;PINK1;PTEN induced kinase 1
1650;ENSG00000244038;DDOST;dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
57576;ENSG00000117245;KIF17;kinesin family member 17
400745;ENSG00000189410;SH2D5;SH2 domain containing 5
50809;ENSG00000127483;HP1BP3;heterochromatin protein 1 binding protein 3
8672;ENSG00000075151;EIF4G3;eukaryotic translation initiation factor 4 gamma 3
100302155;ENSG00000221808;MIR1256;microRNA 1256
1889;ENSG00000117298;ECE1;endothelin converting enzyme 1
100506824;NA;NA;NA
100506801;ENSG00000231105;ECE1-AS1;ECE1 antisense RNA 1
84224;ENSG00000142794;NBPF3;NBPF member 3
249;ENSG00000162551;ALPL;alkaline phosphatase, biomineralization associated
5909;ENSG00000076864;RAP1GAP;RAP1 GTPase activating protein
84196;ENSG00000090686;USP48;ubiquitin specific peptidase 48
401944;ENSG00000187942;LDLRAD2;low density lipoprotein receptor class A domain containing 2
3339;ENSG00000142798;HSPG2;heparan sulfate proteoglycan 2
23436;ENSG00000219073;CELA3B;chymotrypsin like elastase 3B
10136;ENSG00000142789;CELA3A;chymotrypsin like elastase 3A
29092;ENSG00000218510;LINC00339;long intergenic non-protein coding RNA 339
998;ENSG00000070831;CDC42;cell division cycle 42
54361;ENSG00000162552;WNT4;Wnt family member 4
9923;ENSG00000184677;ZBTB40;zinc finger and BTB domain containing 40
2046;ENSG00000070886;EPHA8;EPH receptor A8
712;ENSG00000173372;C1QA;complement C1q A chain
714;ENSG00000159189;C1QC;complement C1q C chain
713;ENSG00000173369;C1QB;complement C1q B chain
2048;ENSG00000133216;EPHB2;EPH receptor B2
100422914;ENSG00000264014;MIR4253;microRNA 4253
646262;ENSG00000215906;LACTBL1;lactamase beta like 1
729059;ENSG00000227868;TEX46;testis expressed 46
23028;ENSG00000004487;KDM1A;lysine demethylase 1A
100422866;ENSG00000263793;MIR3115;microRNA 3115
7798;ENSG00000169641;LUZP1;leucine zipper protein 1
3352;ENSG00000179546;HTR1D;5-hydroxytryptamine receptor 1D
10236;ENSG00000125944;HNRNPR;heterogeneous nuclear ribonucleoprotein R
10236;ENSG00000282958;HNRNPR;heterogeneous nuclear ribonucleoprotein R
80818;ENSG00000125945;ZNF436;zinc finger protein 436
80818;ENSG00000283009;ZNF436;zinc finger protein 436
148898;ENSG00000249087;ZNF436-AS1;ZNF436 antisense RNA 1
6920;ENSG00000204219;TCEA3;transcription elongation factor A3
6920;ENSG00000282941;TCEA3;transcription elongation factor A3
55616;ENSG00000088280;ASAP3;ArfGAP with SH3 domain, ankyrin repeat and PH domain 3
55616;ENSG00000282854;ASAP3;ArfGAP with SH3 domain, ankyrin repeat and PH domain 3
1870;ENSG00000007968;E2F2;E2F transcription factor 2
1870;ENSG00000282899;E2F2;E2F transcription factor 2
3399;ENSG00000117318;ID3;inhibitor of DNA binding 3, HLH protein
3399;ENSG00000283060;ID3;inhibitor of DNA binding 3, HLH protein
259283;ENSG00000197880;MDS2;myelodysplastic syndrome 2 translocation associated
729856;NA;LOC729856;elongation factor 1-alpha-like
6135;ENSG00000142676;RPL11;ribosomal protein L11
6924;ENSG00000011007;ELOA;elongin A
100506963;ENSG00000236810;ELOA-AS1;ELOA antisense RNA 1
57095;ENSG00000057757;PITHD1;PITH domain containing 1
11313;ENSG00000011009;LYPLA2;lysophospholipase 2
2582;ENSG00000117308;GALE;UDP-galactose-4-epimerase
3155;ENSG00000117305;HMGCL;3-hydroxy-3-methylglutaryl-CoA lyase
2517;ENSG00000179163;FUCA1;alpha-L-fucosidase 1
1269;ENSG00000188822;CNR2;cannabinoid receptor 2
